Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA TIMUR,BLITAR,LELE,2023,"8,945,400 "," Rp156,615,100,000 "
KOLAM AIR TENANG,JAWA TIMUR,BOJONEGORO,LELE,2023,"3,197,167 "," Rp58,403,828,500 "
KOLAM AIR TENANG,JAWA TIMUR,BONDOWOSO,LELE,2023,"917,712 "," Rp20,189,664,000 "
KOLAM AIR TENANG,JAWA TIMUR,GRESIK,LELE,2023,"1,469,705 "," Rp22,761,070,000 "
KOLAM AIR TENANG,JAWA TIMUR,JEMBER,LELE,2023,"10,103,000 "," Rp151,545,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,JOMBANG,LELE,2023,"6,977,300 "," Rp128,970,800,000 "
KOLAM AIR TENANG,JAWA TIMUR,KEDIRI,LELE,2023,"16,391,000 "," Rp278,647,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BATU,LELE,2023,"28,575 "," Rp514,350,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA BLITAR,LELE,2023,"111,490 "," Rp1,948,760,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA KEDIRI,LELE,2023,"179,200 "," Rp3,292,029,995 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MADIUN,LELE,2023,"188,660 "," Rp3,467,110,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MALANG,LELE,2023,"91,500 "," Rp1,738,500,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MOJOKERTO,LELE,2023,"210,100 "," Rp5,042,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PASURUAN,LELE,2023,"230,080 "," Rp3,807,261,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PROBOLINGGO,LELE,2023,"241,704 "," Rp4,725,142,662 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA SURABAYA,LELE,2023,"1,066,656 "," Rp23,355,723,000 "
KOLAM AIR TENANG,JAWA TIMUR,LAMONGAN,LELE,2023,"2,366,941 "," Rp37,871,056,000 "
KOLAM AIR TENANG,JAWA TIMUR,LUMAJANG,LELE,2023,"1,261,952 "," Rp23,130,495,000 "
KOLAM AIR TENANG,JAWA TIMUR,MADIUN,LELE,2023,"2,408,500 "," Rp44,557,250,000 "
KOLAM AIR TENANG,JAWA TIMUR,MAGETAN,LELE,2023,"1,532,500 "," Rp27,476,350,000 "
KOLAM AIR TENANG,JAWA TIMUR,MALANG,LELE,2023,"5,946,700 "," Rp104,089,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,MOJOKERTO,LELE,2023,"1,364,000 "," Rp25,234,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,NGANJUK,LELE,2023,"10,044,923 "," Rp183,694,276,857 "
KOLAM AIR TENANG,JAWA TIMUR,NGAWI,LELE,2023,"3,606,150 "," Rp66,713,775,000 "
KOLAM AIR TENANG,JAWA TIMUR,PACITAN,LELE,2023,"420,507 "," Rp7,148,619,000 "
KOLAM AIR TENANG,JAWA TIMUR,PAMEKASAN,LELE,2023,"719,322 "," Rp13,634,545,500 "
KOLAM AIR TENANG,JAWA TIMUR,PASURUAN,LELE,2023,"15,030,013 "," Rp277,171,461,440 "
KOLAM AIR TENANG,JAWA TIMUR,PONOROGO,LELE,2023,"1,617,444 "," Rp37,304,046,000 "
KOLAM AIR TENANG,JAWA TIMUR,PROBOLINGGO,LELE,2023,"682,600 "," Rp12,286,800,000 "
KOLAM AIR TENANG,JAWA TIMUR,SAMPANG,LELE,2023,"190,339 "," Rp4,335,019,000 "
KOLAM AIR TENANG,JAWA TIMUR,SIDOARJO,LELE,2023,"24,382,500 "," Rp390,120,000,000 "
KOLAM AIR TENANG,JAWA TIMUR,SITUBONDO,LELE,2023,"526,799 "," Rp10,009,181,000 "
KOLAM AIR TENANG,JAWA TIMUR,SUMENEP,LELE,2023,"295,705 "," Rp6,059,545,000 "
KOLAM AIR TENANG,JAWA TIMUR,TRENGGALEK,LELE,2023,"3,919,613 "," Rp72,244,244,074 "
KOLAM AIR TENANG,JAWA TIMUR,TUBAN,LELE,2023,"8,406,798 "," Rp151,777,909,018 "
KOLAM AIR TENANG,JAWA TIMUR,TULUNGAGUNG,LELE,2023,"11,550,000 "," Rp219,450,000,000 "
