Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA TIMUR,KOTA BLITAR,LELE,2019,"86,415 "," Rp1,455,874,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA KEDIRI,LELE,2019,"135,900 "," Rp2,122,936,700 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MADIUN,LELE,2019,"168,900 "," Rp2,702,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MALANG,LELE,2019,"113,970 "," Rp1,823,520,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MOJOKERTO,LELE,2019,"110,767 "," Rp1,827,655,500 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PASURUAN,LELE,2019,"47,578 "," Rp729,336,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PROBOLINGGO,LELE,2019,"234,620 "," Rp3,606,840,003 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA SURABAYA,LELE,2019,"765,081 "," Rp13,771,458,000 "
KOLAM AIR TENANG,JAWA TIMUR,LAMONGAN,LELE,2019,"2,266,471 "," Rp33,997,065,000 "
KOLAM AIR TENANG,JAWA TIMUR,LUMAJANG,LELE,2019,"711,850 "," Rp10,677,750,000 "
KOLAM AIR TENANG,JAWA TIMUR,MADIUN,LELE,2019,"2,075,700 "," Rp31,135,500,000 "
KOLAM AIR TENANG,JAWA TIMUR,MAGETAN,LELE,2019,"1,531,900 "," Rp24,510,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,MALANG,LELE,2019,"8,139,701 "," Rp122,095,515,000 "
KOLAM AIR TENANG,JAWA TIMUR,MOJOKERTO,LELE,2019,"940,380 "," Rp15,330,420,000 "
KOLAM AIR TENANG,JAWA TIMUR,NGANJUK,LELE,2019,"8,330,000 "," Rp134,776,960,000 "
KOLAM AIR TENANG,JAWA TIMUR,NGAWI,LELE,2019,"2,378,105 "," Rp38,049,680,000 "
KOLAM AIR TENANG,JAWA TIMUR,PACITAN,LELE,2019,"462,691 "," Rp6,940,365,000 "
KOLAM AIR TENANG,JAWA TIMUR,PAMEKASAN,LELE,2019,"634,250 "," Rp11,122,265,066 "
KOLAM AIR TENANG,JAWA TIMUR,PASURUAN,LELE,2019,"3,191,989 "," Rp48,646,002,397 "
KOLAM AIR TENANG,JAWA TIMUR,PONOROGO,LELE,2019,"1,653,558 "," Rp26,491,667,800 "
KOLAM AIR TENANG,JAWA TIMUR,PROBOLINGGO,LELE,2019,"758,630 "," Rp11,758,765,000 "
KOLAM AIR TENANG,JAWA TIMUR,SAMPANG,LELE,2019,"100,722 "," Rp1,712,274,000 "
KOLAM AIR TENANG,JAWA TIMUR,SIDOARJO,LELE,2019,"20,394,400 "," Rp326,310,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,SITUBONDO,LELE,2019,"185,865 "," Rp3,102,332,000 "
KOLAM AIR TENANG,JAWA TIMUR,SUMENEP,LELE,2019,"170,428 "," Rp2,834,916,000 "
KOLAM AIR TENANG,JAWA TIMUR,TRENGGALEK,LELE,2019,"4,053,426 "," Rp61,868,890,760 "
KOLAM AIR TENANG,JAWA TIMUR,TUBAN,LELE,2019,"2,010,670 "," Rp34,181,390,000 "
KOLAM AIR TENANG,JAWA TIMUR,TULUNGAGUNG,LELE,2019,"10,006,869 "," Rp153,563,838,948 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG,LELE,2020,"6,286,498 "," Rp100,583,968,000 "
KOLAM AIR TENANG,JAWA BARAT,BANDUNG BARAT,LELE,2020,"1,892,735 "," Rp28,391,025,000 "
KOLAM AIR TENANG,JAWA BARAT,BEKASI,LELE,2020,"2,064,987 "," Rp35,980,966,000 "
KOLAM AIR TENANG,JAWA BARAT,BOGOR,LELE,2020,"85,404,120 "," Rp1,621,387,862,000 "
KOLAM AIR TENANG,JAWA BARAT,CIAMIS,LELE,2020,"4,341,100 "," Rp56,434,300,000 "
KOLAM AIR TENANG,JAWA BARAT,CIANJUR,LELE,2020,"12,340,000 "," Rp197,440,000,000 "
KOLAM AIR TENANG,JAWA BARAT,CIREBON,LELE,2020,"9,039,930 "," Rp180,798,600,000 "
KOLAM AIR TENANG,JAWA BARAT,GARUT,LELE,2020,"2,919,150 "," Rp49,625,550,000 "
KOLAM AIR TENANG,JAWA BARAT,INDRAMAYU,LELE,2020,"89,693,625 "," Rp1,435,098,000,000 "
KOLAM AIR TENANG,JAWA BARAT,KARAWANG,LELE,2020,"766,390 "," Rp9,196,680,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANDUNG,LELE,2020,"74,448 "," Rp1,303,626,222 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BANJAR,LELE,2020,"300,470 "," Rp4,507,050,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BEKASI,LELE,2020,"1,309,069 "," Rp23,563,242,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA BOGOR,LELE,2020,"2,431,756 "," Rp41,339,852,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIMAHI,LELE,2020,"190,774 "," Rp3,433,932,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA CIREBON,LELE,2020,"83,928 "," Rp1,302,091,860 "
KOLAM AIR TENANG,JAWA BARAT,KOTA DEPOK,LELE,2020,"94,180 "," Rp2,391,380,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA SUKABUMI,LELE,2020,"656,683 "," Rp13,133,660,000 "
KOLAM AIR TENANG,JAWA BARAT,KOTA TASIKMALAYA,LELE,2020,"1,479,486 "," Rp17,753,832,000 "
KOLAM AIR TENANG,JAWA BARAT,KUNINGAN,LELE,2020,"4,301,076 "," Rp73,118,292,000 "
KOLAM AIR TENANG,JAWA BARAT,MAJALENGKA,LELE,2020,"2,265,630 "," Rp38,515,710,000 "
KOLAM AIR TENANG,JAWA BARAT,PANGANDARAN,LELE,2020,"28,459 "," Rp421,757,800 "
KOLAM AIR TENANG,JAWA BARAT,PURWAKARTA,LELE,2020,"600,780 "," Rp9,300,070,000 "
KOLAM AIR TENANG,JAWA BARAT,SUBANG,LELE,2020,"1,838,154 "," Rp39,977,700,000 "
KOLAM AIR TENANG,JAWA BARAT,SUKABUMI,LELE,2020,"11,803,687 "," Rp212,466,366,000 "
KOLAM AIR TENANG,JAWA BARAT,SUMEDANG,LELE,2020,"680,731 "," Rp12,105,901,272 "
KOLAM AIR TENANG,JAWA BARAT,TASIKMALAYA,LELE,2020,"4,130,000 "," Rp55,440,000,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANJARNEGARA,LELE,2020,"12,847,649 "," Rp192,714,735,000 "
KOLAM AIR TENANG,JAWA TENGAH,BANYUMAS,LELE,2020,"3,566,103 "," Rp64,519,095,000 "
KOLAM AIR TENANG,JAWA TENGAH,BATANG,LELE,2020,"1,206,455 "," Rp18,096,825,000 "
KOLAM AIR TENANG,JAWA TENGAH,BLORA,LELE,2020,"257,263 "," Rp4,373,471,000 "
KOLAM AIR TENANG,JAWA TENGAH,BOYOLALI,LELE,2020,"25,409,161 "," Rp406,546,576,000 "
KOLAM AIR TENANG,JAWA TENGAH,BREBES,LELE,2020,"1,746,154 "," Rp31,430,772,000 "
KOLAM AIR TENANG,JAWA TENGAH,CILACAP,LELE,2020,"2,626,922 "," Rp42,931,381,500 "
KOLAM AIR TENANG,JAWA TENGAH,DEMAK,LELE,2020,"25,989,186 "," Rp415,826,976,000 "
KOLAM AIR TENANG,JAWA TENGAH,GROBOGAN,LELE,2020,"2,331,206 "," Rp38,464,899,000 "
KOLAM AIR TENANG,JAWA TENGAH,JEPARA,LELE,2020,"7,021,765 "," Rp119,370,005,000 "
KOLAM AIR TENANG,JAWA TENGAH,KARANGANYAR,LELE,2020,"1,568,780 "," Rp24,707,932,500 "
KOLAM AIR TENANG,JAWA TENGAH,KEBUMEN,LELE,2020,"1,021,538 "," Rp16,910,492,000 "
KOLAM AIR TENANG,JAWA TENGAH,KENDAL,LELE,2020,"2,442,900 "," Rp39,300,800,400 "
KOLAM AIR TENANG,JAWA TENGAH,KLATEN,LELE,2020,"8,524,473 "," Rp136,391,568,000 "
KOLAM AIR TENANG,JAWA TENGAH,KOTA MAGELANG,LELE,2020,"47,060 "," Rp776,490,000 "
